.movie	video/x-sgi-movie
.mp2	video/mpeg
.mp3	video/mpeg
.mpa	video/mpeg
.mpc	application/x-project
.mpe	video/mpeg
.mpeg	video/mpeg
.mpg	video/mpeg
.mpga	audio/mpeg
.mpp	application/x-project
.mpt	application/x-project
.mpv	application/x-project
.mpx	application/x-project
.mrc	application/marc
.ms	application/x-troff-ms
.mv	video/x-sgi-movie
.my	audio/make
.nap	image/naplps
.naplps	image/naplps
.nc	application/x-netcdf
.ncm	application/vnd.nokia.configuration-message
.nif	image/x-niff
.niff	image/x-niff
.nsc	application/x-conference
.nvd	application/x-navidoc
.nvm	application/x-navimap
.o	application/octet-stream
.oda	application/oda
.p	text/x-pascal
.p10	application/pkcs10
.p12	application/pkcs-12
.p7a	application/x-pkcs7-signature
.p7c	application/pkcs7-mime
.p7m	application/pkcs7-mime
.p7s	application/pkcs7-signature
.part	application/pro_eng
.pas	text/pascal
.pbm	image/x-portable-bitmap
.pcl	application/vnd.hp-PCL
.pct	image/x-pict
.pcx	image/x-pcx
.pdb	chemical/x-pdb
.pdf	application/pdf
.pfunk	audio/make
.pgm	image/x-portable-graymap
.pic	image/pict
.pict	image/pict
.pkg	application/x-newton-compatible-pkg
.pl	text/plain
.plx	application/x-PiXCLscript
.pm	image/x-xpixmap
.pm4	application/x-pagemaker
.pm5	application/x-pagemaker
.png	image/png
.pnm	image/x-portable-anymap
.pot	application/mspowerpoint
.pov	model/x-pov
.ppa	application/vnd.ms-powerpoint
.ppm	image/x-portable-pixmap
.pps	application/mspowerpoint
.ppt	application/powerpoint
.ppz	application/mspowerpoint
.pre	application/x-freelance
.prt	application/pro_eng
.ps	application/postscript
.psd	application/octet-stream
.pvu	paleovu/x-pv
.pwz	application/vnd.ms-powerpoint
.qcp	audio/vnd.qcelp
.qd3	x-world/x-3dmf
.qd3d	x-world/x-3dmf
.qt	video/quicktime
.qtc	video/x-qtc
.ra	audio/x-realaudio
.ram	audio/x-pn-realaudio
.ras	image/cmu-raster
.rast	image/cmu-raster
.rgb	image/x-rgb
.rm	audio/x-pn-realaudio
.rmi	audio/mid
.rmp	audio/x-pn-realaudio
.rng	application/ringing-tones
.roff	application/x-troff
.rpm	audio/x-pn-realaudio-plugin
.rt	text/richtext
.rtf	application/rtf
.rtx	text/richtext
.s	text/x-asm
.s3m	audio/s3m
.saveme	application/octet-stream
.sbk	application/x-tbook
.scm	video/x-scm
.sdml	text/plain
.sdr	application/sounder
.sea	application/sea
.set	application/set
.sgm	text/sgml
.sgml	text/sgml
.sh	application/x-sh
.shar	application/x-shar
.shtml	text/html
.sid	audio/x-psid
.sit	application/x-sit
.skd	application/x-koan
.skm	application/x-koan
.skp	application/x-koan
.skt	application/x-koan
.sl	application/x-seelogo
.snd	audio/basic
.sol	application/solids
.spc	text/x-speech
.spl	application/futuresplash
.spr	application/x-sprite
.sprite	application/x-sprite
.src	application/x-wais-source
.ssi	text/x-server-parsed-html
.step	application/step
.stl	application/sla
.stp	application/step
.sv4cpio	application/x-sv4cpio
.sv4crc	application/x-sv4crc
.svf	image/vnd.dwg
.svr	application/x-world
.swf	application/x-shockwave-flash
.t	application/x-troff
.talk	text/x-speech
.tar	application/x-tar
.tbk	application/toolbook
.tcl	application/x-tcl
.tex	application/x-tex
.texi	application/x-texinfo
.texinfo	application/x-texinfo
.text	text/plain
.tgz	application/gnutar
.tif	image/tiff
.tiff	image/tiff
.tr	application/x-troff
.tsi	audio/tsp-audio
.tsp	audio/tsplayer
.tsv	text/tab-separated-values
.turbot	image/florian
.txt	text/plain
.uil	text/x-uil
.uni	text/uri-list
.unis	text/uri-list
.unv	application/i-deas
.uri	text/uri-list
.uris	text/uri-list
.ustar	application/x-ustar
.uu	text/x-uuencode
.uue	text/x-uuencode
.vcd	application/x-cdlink
.vcs	text/x-vCalendar
.vda	application/vda
.vdo	video/vdo
.vew	application/groupwise
.viv	video/vivo
.vivo	video/vivo
.vmd	application/vocaltec-media-desc
.vmf	application/vocaltec-media-file
.voc	audio/voc
.vos	video/vosaic
.vox	audio/voxware
.vqf	audio/x-twinvq
.vql	audio/x-twinvq
.vrml	model/vrml
.vrt	x-world/x-vrt
.vsd	application/x-visio
.vst	application/x-visio
.vsw	application/x-visio
.w60	application/wordperfect6.0
.w61	application/wordperfect6.1
.w6w	application/msword
.wav	audio/wav
.wb1	application/x-qpro
.web	application/vnd.xara
.wiz	application/msword
.wk1	application/x-123
.wmf	windows/metafile
.wml	application/vnd.wap.wml
.wmlc	application/vnd.wap.wml-wbxml
.word	application/msword
.wp	application/wordperfect
.wp5	application/wordperfect
.wp6	application/wordperfect
.wpd	application/wordperfect
.wq1	application/x-lotus
.wri	application/mswrite
.wrl	model/vrml
.wrz	model/vrml
.wsrc	application/x-wais-source
.wtk	application/x-wintalk
.x-png	image/png
.xbm	image/xbm
.xdr	video/x-amt-demorun
.xgz	xgl/drawing
.xif	image/vnd.xiff
.xl	application/excel
.xla	application/excel
.xlb	application/excel
.xlc	application/excel
.xlc	application/x-excel
.xld	application/excel
.xlk	application/excel
.xll	application/excel
.xlm	application/excel
.xls	application/excel
.xlt	application/excel
.xlv	application/excel
.xlw	application/excel
.xm	audio/xm
.xml	text/xml
.xmz	xgl/movie
.xpm	image/xpm
.xsl	text/xsl
.xsr	video/x-amt-showrun
.xwd	image/x-xwindowdump
.xyz	chemical/x-pdb
.z	application/x-compressed
.zip	application/zip
.zoo	application/octet-stream
